sample	sample_type	geo_id	sample_id
s1	PDX_mRCC_SC	GSM1887216	PDX_mRCC_SC_01
s2	PDX_mRCC_SC	GSM1887217	PDX_mRCC_SC_03
s3	PDX_mRCC_SC	GSM1887218	PDX_mRCC_SC_04
s4	PDX_mRCC_SC	GSM1887219	PDX_mRCC_SC_05
s5	PDX_mRCC_SC	GSM1887220	PDX_mRCC_SC_06
s6	PDX_mRCC_SC	GSM1887221	PDX_mRCC_SC_08
s7	PDX_mRCC_SC	GSM1887222	PDX_mRCC_SC_12
s8	PDX_mRCC_SC	GSM1887223	PDX_mRCC_SC_14
s9	PDX_mRCC_SC	GSM1887224	PDX_mRCC_SC_15
s10	PDX_mRCC_SC	GSM1887225	PDX_mRCC_SC_20
s11	PDX_mRCC_SC	GSM1887226	PDX_mRCC_SC_21
s12	PDX_mRCC_SC	GSM1887227	PDX_mRCC_SC_34
s13	PDX_mRCC_SC	GSM1887228	PDX_mRCC_SC_41
s14	PDX_mRCC_SC	GSM1887229	PDX_mRCC_SC_44
s15	PDX_mRCC_SC	GSM1887230	PDX_mRCC_SC_52
s16	PDX_mRCC_SC	GSM1887231	PDX_mRCC_SC_56
s17	PDX_mRCC_SC	GSM1887232	PDX_mRCC_SC_60
s18	PDX_mRCC_SC	GSM1887233	PDX_mRCC_SC_61
s19	PDX_mRCC_SC	GSM1887234	PDX_mRCC_SC_63
s20	PDX_mRCC_SC	GSM1887235	PDX_mRCC_SC_64
s21	PDX_mRCC_SC	GSM1887236	PDX_mRCC_SC_68
s22	PDX_mRCC_SC	GSM1887237	PDX_mRCC_SC_69
s23	PDX_mRCC_SC	GSM1887238	PDX_mRCC_SC_70
s24	PDX_mRCC_SC	GSM1887239	PDX_mRCC_SC_77
s25	PDX_mRCC_SC	GSM1887240	PDX_mRCC_SC_79
s26	PDX_mRCC_SC	GSM1887241	PDX_mRCC_SC_80
s27	PDX_mRCC_SC	GSM1887242	PDX_mRCC_SC_81
s28	PDX_mRCC_SC	GSM1887243	PDX_mRCC_SC_86
s29	PDX_mRCC_SC	GSM1887244	PDX_mRCC_SC_87
s30	PDX_mRCC_SC	GSM1887245	PDX_mRCC_SC_88
s31	PDX_mRCC_SC	GSM1887246	PDX_mRCC_SC_89
s32	PDX_mRCC_SC	GSM1887247	PDX_mRCC_SC_90
s33	PDX_mRCC_SC	GSM1887248	PDX_mRCC_SC_92
s34	PDX_mRCC_SC	GSM1887249	PDX_mRCC_SC_93
s35	PDX_mRCC_SC	GSM1887250	PDX_mRCC_SC_94
s36	PDX_mRCC_SC	GSM1887251	PDX_mRCC_SC_95
s37	PDX_pRCC_SC	GSM1887253	PDX_pRCC_SC_03
s38	PDX_pRCC_SC	GSM1887254	PDX_pRCC_SC_05
s39	PDX_pRCC_SC	GSM1887255	PDX_pRCC_SC_06
s40	PDX_pRCC_SC	GSM1887256	PDX_pRCC_SC_10
s41	PDX_pRCC_SC	GSM1887257	PDX_pRCC_SC_13
s42	PDX_pRCC_SC	GSM1887258	PDX_pRCC_SC_14
s43	PDX_pRCC_SC	GSM1887259	PDX_pRCC_SC_16
s44	PDX_pRCC_SC	GSM1887260	PDX_pRCC_SC_24
s45	PDX_pRCC_SC	GSM1887261	PDX_pRCC_SC_27
s46	PDX_pRCC_SC	GSM1887262	PDX_pRCC_SC_28
s47	PDX_pRCC_SC	GSM1887263	PDX_pRCC_SC_29
s48	PDX_pRCC_SC	GSM1887264	PDX_pRCC_SC_34
s49	PDX_pRCC_SC	GSM1887265	PDX_pRCC_SC_35
s50	PDX_pRCC_SC	GSM1887266	PDX_pRCC_SC_36
