,0_n,0_s,0_l,0_p,1_n,1_s,1_l,1_p,2_n,2_s,2_l,2_p,3_n,3_s,3_l,3_p
0,ENSG00000143156.9,8.828796,4.768026,7.084884425131444e-15,ENSG00000132465.6,8.007457,8.220669,1.5682688715364165e-11,ENSG00000173110.6,7.2350936,10.386174,2.8252536384387615e-09,ENSG00000102580.10,4.8178096,5.081264,0.019437507003707284
1,ENSG00000120885.15,8.75677,9.81535,8.969274783126208e-15,ENSG00000166922.4,7.8275814,8.743815,3.330222965340839e-11,ENSG00000210082.2,7.1663365,3.335575,2.8252536384387615e-09,ENSG00000105939.8,4.5123577,3.462116,0.042928665632465036
2,ENSG00000117984.8,8.457582,4.5948825,7.311401147791344e-14,ENSG00000244437.1,7.56976,8.013243,1.669156944124819e-10,ENSG00000211459.2,7.1538353,3.1663818,2.8252536384387615e-09,ENSG00000237415.2,4.3642597,3.7567446,0.046084630659339
3,ENSG00000092421.12,8.42434,8.424335,8.097467632229936e-14,ENSG00000233639.1,7.3778925,4.7345114,4.3072591554821237e-10,ENSG00000228474.1,6.6225324,1.4237775,4.298786827975684e-08,ENSG00000166523.3,4.280955,5.8647184,0.046084630659339
4,ENSG00000197971.10,8.402178,7.6261277,8.384796057916313e-14,ENSG00000211592.2,7.1860256,8.112727,1.4888475751047861e-09,ENSG00000125148.6,6.5787783,4.4398813,4.5029156765776536e-08,ENSG00000144959.5,4.2439303,3.6027358,0.046084630659339
5,ENSG00000128242.8,8.371705,5.449864,9.506719461983719e-14,ENSG00000211896.2,7.084096,6.187851,2.67753729912361e-09,ENSG00000170315.9,6.3287535,2.446812,1.3239318522717182e-07,ENSG00000117505.8,4.1698813,4.4357615,0.046084630659339
6,ENSG00000184368.11,8.341232,8.8150625,1.0939823324908252e-13,ENSG00000213024.6,7.048121,4.5872364,3.0358005072904026e-09,ENSG00000265401.1,6.203741,2.5089006,2.1096805198033922e-07,ENSG00000186807.9,4.1698813,6.011193,0.046084630659339
7,ENSG00000265168.1,8.280287,8.777568,1.5312017943104476e-13,ENSG00000139289.9,6.9581833,4.2898197,5.025742691507826e-09,ENSG00000120694.15,6.1881146,3.933149,2.1458259450681146e-07,ENSG00000113811.6,4.1606255,2.696066,0.046084630659339
8,ENSG00000259291.1,8.277516,7.309247,1.5312017943104476e-13,ENSG00000185650.8,6.9461913,3.1853058,5.025742691507826e-09,ENSG00000080824.14,6.153736,2.4346685,2.4436301126674954e-07,ENSG00000116406.14,4.142113,3.7853503,0.046084630659339
9,ENSG00000113657.8,8.230422,5.822944,1.826884970305407e-13,ENSG00000165474.5,6.9042206,6.3436856,5.658114186196945e-09,ENSG00000205426.6,6.1193576,6.8009505,2.5678027649798623e-07,ENSG00000148572.10,4.142113,4.7198114,0.046084630659339
